subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
all,energy_abs_error,largest_l3n5_regression,1,7306805,-17.657989501953125,464.77661298106284,0.003262245686422645,True,False,True,1.6046638488769531,4.801151752471924,3.1964879035949707
all,energy_abs_error,largest_l3n5_regression,2,5790076,530.6148071289062,2394.856658433027,0.020333796653811617,True,True,True,4.105010986328125,7.086090087890625,2.9810791015625
all,energy_abs_error,largest_l3n5_regression,3,3438805,45.60647201538086,659.4992985288256,0.06250436988790038,True,False,False,0.7934703826904297,3.0273666381835938,2.233896255493164
all,energy_abs_error,largest_l3n5_regression,4,4426685,763.7227783203125,3332.67259615729,0.14101687776701655,True,True,False,1.080718994140625,3.31024169921875,2.229522705078125
all,energy_abs_error,largest_l3n5_regression,5,3838582,852.1339721679688,4686.090186005615,0.06018182665764262,True,True,False,6.8416748046875,8.98004150390625,2.13836669921875
all,energy_abs_error,largest_l3n5_regression,6,3860115,444.4144287109375,3317.227795571614,0.27526969359458425,True,True,False,1.6337890625,3.442352294921875,1.808563232421875
all,energy_abs_error,largest_l3n5_regression,7,5797494,22.61484146118164,976.2206426532124,0.12314779530038678,True,False,False,1.56304931640625,3.359203338623047,1.7961540222167969
all,energy_abs_error,largest_l3n5_regression,8,7559705,218.34030151367188,1823.7514278924675,0.018762713083134975,True,True,True,0.487152099609375,2.1893310546875,1.702178955078125
all,energy_abs_error,largest_l3n5_regression,9,6192544,87.9297866821289,554.4719859081271,0.08872579862094872,True,True,False,2.1141891479492188,3.7306251525878906,1.6164360046386719
all,energy_abs_error,largest_l3n5_regression,10,7182208,-25.189006805419922,535.9710925000244,0.05694197424197192,True,False,False,1.333756446838379,2.9344329833984375,1.6006765365600586
all,energy_abs_error,largest_l3n5_regression,11,3959842,357.10150146484375,3253.018564926947,0.10301902135557818,True,True,False,2.80487060546875,4.363128662109375,1.558258056640625
all,energy_abs_error,largest_l3n5_regression,12,4003634,894.2456665039062,4363.342247016245,0.11125618049547059,True,True,False,1.64996337890625,3.19342041015625,1.54345703125
all,energy_abs_error,largest_l3n5_regression,13,3322946,-16.866947174072266,114.5292770826861,0.5017460740462533,False,False,False,0.6252193450927734,2.1655311584472656,1.5403118133544922
all,energy_abs_error,largest_l3n5_regression,14,4062509,386.6946105957031,2537.6449957515183,0.33966550621488534,True,True,False,0.626312255859375,2.150787353515625,1.52447509765625
all,energy_abs_error,largest_l3n5_regression,15,4306043,181.05482482910156,649.7699998825456,0.15670404129821106,True,True,False,0.9331283569335938,2.4340133666992188,1.500885009765625
all,energy_abs_error,largest_l3n5_regression,16,7154162,551.7584228515625,3929.069287602201,0.36431874840628536,True,True,False,0.81964111328125,2.218841552734375,1.399200439453125
all,energy_abs_error,largest_l3n5_regression,17,3353535,-54.41633224487305,89.98837613560045,0.3077400616452751,False,False,False,0.7065086364746094,2.021800994873047,1.3152923583984375
all,energy_abs_error,largest_l3n5_regression,18,4743329,69.5481185913086,870.2618248487794,0.054200987271438926,True,True,False,0.9702606201171875,2.264698028564453,1.2944374084472656
all,energy_abs_error,largest_l3n5_regression,19,3655899,202.0066375732422,1668.6722021937894,0.00826049343861809,True,True,True,1.1987762451171875,2.4761886596679688,1.2774124145507812
all,energy_abs_error,largest_l3n5_regression,20,5783662,321.6359558105469,2633.153464752796,0.13368478254288613,True,True,False,1.7623443603515625,3.0393218994140625,1.2769775390625
all,energy_abs_error,largest_l3n5_regression,21,7186912,-28.842803955078125,574.6419725514646,0.09312606143052797,True,False,False,0.7327327728271484,1.9944229125976562,1.2616901397705078
all,energy_abs_error,largest_l3n5_regression,22,6063503,-54.58428192138672,505.6486739269703,0.02351442131086386,True,False,True,1.5769691467285156,2.8055152893066406,1.228546142578125
all,energy_abs_error,largest_l3n5_regression,23,3401393,-7.911324501037598,575.8363371619554,0.07075904574072012,True,False,False,3.7023258209228516,4.925227165222168,1.2229013442993164
all,energy_abs_error,largest_l3n5_regression,24,6945825,555.7863159179688,3654.617044313861,0.12433713183017511,True,True,False,0.5198974609375,1.65863037109375,1.13873291015625
all,energy_abs_error,largest_l3n5_regression,25,7588736,14.88277816772461,638.9614974594501,0.17042241681011167,True,False,False,2.534973621368408,3.6582283973693848,1.1232547760009766
all,force_rmse,largest_l3n5_improvement,1,5813022,450.1976623535156,2451.501262381391,0.008928890243024793,True,True,True,21.2127448500664,12.13628556729185,-9.07645928277455
all,force_rmse,largest_l3n5_improvement,2,4003634,894.2456665039062,4363.342247016245,0.11125618049547059,True,True,False,29.308776825939404,23.464836201837187,-5.843940624102217
all,force_rmse,largest_l3n5_improvement,3,5619249,587.6139526367188,2381.2842903827395,0.049895034035827776,True,True,False,15.071470268773478,10.720026005839,-4.3514442629344785
all,force_rmse,largest_l3n5_improvement,4,6954521,211.0420379638672,1426.3538655086745,0.293965204884976,True,True,False,18.427749044540203,14.434772635674964,-3.992976408865239
all,force_rmse,largest_l3n5_improvement,5,4246309,956.009521484375,4542.151327963925,0.09653371641999943,True,True,False,10.169226742262563,6.861772915311244,-3.3074538269513187
all,force_rmse,largest_l3n5_improvement,6,6192544,87.9297866821289,554.4719859081271,0.08872579862094872,True,True,False,12.06996947473722,8.80314429796394,-3.266825176773281
